"Team_Name","Division","Coach"
"Chicago Bulls, "North-East","Baby","Tami Schmitt I"
"Houston Rockets","South-East","Delbert Lang"
"L.A. Lakers","North-West","Carole Windler"
"Orlando Magic","South-West","Damon Walker"
"Oakland Warriors","South-West","Carlos Reynolds IV"
"Seattle Supersonics","North-East","Tommy McLaughlin"
"Boston Celtics","Della Kovacek","Beauty","Gregory Schroeder"
"Atlanta Falcons","North-East","Sophia Witting"
"San Antonio Spurs","South-West","Barbara Fadel"
"Indiana Pacers","South-East","Kristen Baumbach"
"Washington Bullets","North-East","Marjorie Grant"
"New York Knicks","North-East","Marsha Schimmel"
"Oklahoma Thunder","South-West","Dr. Donald Franecki PhD"
"Cleveland Cavilers","South-East","Ms. Suzanne Stiedemann"
"LA Kings","South-West","Camille Beahan"
"Carolina Wizards","South-West","Javier O'Hara PhD"
"Oakland Stars","South-East","Miss Shari Mertz"
"Ney York Nets","South-East","Dr. Angelina Wunsch PhD"